t,drone_x,drone_y,drone_z,drone_vel_x,drone_vel_y,drone_vel_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_vel_x,flower_vel_y,flower_vel_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
21.224000,-0.001534,-0.004291,1.072664,-0.000018,0.000017,-0.041341,-0.000024,-0.000002,1.570798,0.529341,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.530875,1.004291,0.027336,1.136299
21.226000,-0.001534,-0.004291,1.072581,-0.000018,0.000017,-0.041307,-0.000024,-0.000003,1.570798,0.528122,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.529656,1.004291,0.027419,1.135732
21.228000,-0.001534,-0.004291,1.072498,-0.000019,0.000017,-0.041265,-0.000023,-0.000003,1.570798,0.526893,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.528427,1.004291,0.027502,1.135162
21.230000,-0.001534,-0.004291,1.072416,-0.000019,0.000016,-0.041217,-0.000022,-0.000003,1.570798,0.525655,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.527190,1.004291,0.027584,1.134588
21.232000,-0.001534,-0.004291,1.072333,-0.000019,0.000016,-0.041163,-0.000021,-0.000003,1.570798,0.524409,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.525943,1.004291,0.027667,1.134011
21.234000,-0.001534,-0.004291,1.072251,-0.000020,0.000016,-0.041104,-0.000020,-0.000003,1.570798,0.523154,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.524688,1.004291,0.027749,1.133432
21.236000,-0.001534,-0.004291,1.072169,-0.000020,0.000016,-0.041040,-0.000019,-0.000003,1.570798,0.521889,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.523423,1.004291,0.027831,1.132849
21.238000,-0.001534,-0.004291,1.072087,-0.000020,0.000016,-0.040971,-0.000018,-0.000003,1.570798,0.520616,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.522151,1.004291,0.027913,1.132263
21.240000,-0.001534,-0.004291,1.072005,-0.000021,0.000016,-0.040899,-0.000017,-0.000003,1.570798,0.519335,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.520869,1.004291,0.027995,1.131675
21.242000,-0.001534,-0.004291,1.071923,-0.000021,0.000016,-0.040823,-0.000016,-0.000003,1.570798,0.518044,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.519579,1.004291,0.028077,1.131084
